Class,petal length,petal width,sepal length,sepal width,Anomaly,Anomaly_Score
Iris-setosa,1.0,0.2,4.6,3.6,0,'-0.7717452904177516
Iris-setosa,1.1,0.1,4.3,3.0,0,'-6.211703408463766
Iris-setosa,1.2,0.2,5.0,3.2,0,'-22.260507331818097
Iris-setosa,1.2,0.2,5.8,4.0,0,'-0.9712668356408708
Iris-setosa,1.3,0.2,4.4,3.0,0,'-128.1522455647601
Iris-setosa,1.3,0.2,4.4,3.2,0,'-44.802538833080554
Iris-setosa,1.3,0.2,4.7,3.2,0,'-93.4220000264197
Iris-setosa,1.3,0.2,5.5,3.5,0,'-3.6381891263247517
Iris-setosa,1.3,0.3,4.5,2.3,0,'-0.0889982541207461
Iris-setosa,1.3,0.3,5.0,3.5,0,'-69.75313346581021
Iris-setosa,1.3,0.4,5.4,3.9,0,'-7.14710835565474
Iris-setosa,1.4,0.1,4.8,3.0,0,'-172.91705160346558
Iris-setosa,1.4,0.2,4.4,2.9,0,'-42.38045222480889
Iris-setosa,1.4,0.2,4.6,3.2,0,'-147.6898366216038
Iris-setosa,1.4,0.2,4.9,3.0,0,'-400.0007969647749
Iris-setosa,1.4,0.2,5.0,3.3,0,'-371.8399118124943
Iris-setosa,1.4,0.2,5.0,3.6,0,'-82.1762152298191
Iris-setosa,1.4,0.2,5.1,3.5,0,'-556.2515258816383
Iris-setosa,1.4,0.2,5.2,3.4,0,'-49.694565605533256
Iris-setosa,1.4,0.2,5.5,4.2,0,'-8.122338421714415
Iris-setosa,1.4,0.3,4.6,3.4,0,'-29.09890931257298
Iris-setosa,1.4,0.3,4.8,3.0,0,'-29.20924983672517
Iris-setosa,1.4,0.3,5.1,3.5,0,'-501.2351156754563
Iris-setosa,1.5,0.1,4.9,3.1,0,'-109.7397140357359
Iris-setosa,1.5,0.1,5.2,4.1,0,'-12.646257392157498
Iris-setosa,1.5,0.2,4.6,3.1,0,'-99.22920903151996
Iris-setosa,1.5,0.2,5.0,3.4,0,'-248.58399377622374
Iris-setosa,1.5,0.2,5.1,3.4,0,'-836.8074893981984
Iris-setosa,1.5,0.2,5.2,3.5,0,'-49.694570568296044
Iris-setosa,1.5,0.2,5.3,3.7,0,'-317.322242054812
Iris-setosa,1.5,0.2,5.4,3.7,0,'-184.45004339043436
Iris-setosa,1.5,0.3,5.1,3.8,0,'-109.4246856922628
Iris-setosa,1.5,0.4,5.1,3.7,0,'-73.4221771864128
Iris-setosa,1.5,0.4,5.4,3.4,0,'-11.22220731596136
Iris-setosa,1.5,0.4,5.7,4.4,0,'-0.5923107195371038
Iris-setosa,1.6,0.2,4.7,3.2,0,'-147.4516199208391
Iris-setosa,1.6,0.2,4.8,3.1,0,'-523.9995733900842
Iris-setosa,1.6,0.2,4.8,3.4,0,'-49.66276832009936
Iris-setosa,1.6,0.2,5.0,3.0,0,'-29.610067862188334
Iris-setosa,1.6,0.2,5.1,3.8,0,'-33.51162720193106
Iris-setosa,1.6,0.4,5.0,3.4,0,'-138.11898887109288
Iris-setosa,1.6,0.6,5.0,3.5,0,'-15.430668413862472
