date,NO2,NO2(t-1),NO2(t-2)
2022-05-31 00:00:00+00:00,2.437270209491397e-05,1.92777326620195e-05,1.816092040807581e-05
2022-06-01 00:00:00+00:00,2.56478522260295e-05,2.437270209491397e-05,1.92777326620195e-05
2022-06-02 00:00:00+00:00,2.248436714726144e-05,2.56478522260295e-05,2.437270209491397e-05
2022-06-03 00:00:00+00:00,1.703293584073271e-05,2.248436714726144e-05,2.56478522260295e-05
2022-06-04 00:00:00+00:00,2.594595114467004e-05,1.703293584073271e-05,2.248436714726144e-05
2022-06-05 00:00:00+00:00,1.7726956381617736e-05,2.594595114467004e-05,1.703293584073271e-05
2022-06-06 00:00:00+00:00,2.7981048193536346e-05,1.7726956381617736e-05,2.594595114467004e-05
2022-06-07 00:00:00+00:00,2.339392271358812e-05,2.7981048193536346e-05,1.7726956381617736e-05
2022-06-08 00:00:00+00:00,1.815012067349168e-05,2.339392271358812e-05,2.7981048193536346e-05
2022-06-09 00:00:00+00:00,1.9893173527764573e-05,1.815012067349168e-05,2.339392271358812e-05
2022-06-10 00:00:00+00:00,2.290067625706017e-05,1.9893173527764573e-05,1.815012067349168e-05
2022-06-11 00:00:00+00:00,2.8394594447821543e-05,2.290067625706017e-05,1.9893173527764573e-05
2022-06-12 00:00:00+00:00,2.2652412280876887e-05,2.8394594447821543e-05,2.290067625706017e-05
2022-06-13 00:00:00+00:00,4.005411190317116e-05,2.2652412280876887e-05,2.8394594447821543e-05
2022-06-14 00:00:00+00:00,3.157790390317572e-05,4.005411190317116e-05,2.2652412280876887e-05
2022-06-15 00:00:00+00:00,2.3101695903180277e-05,3.157790390317572e-05,4.005411190317116e-05
2022-06-16 00:00:00+00:00,2.353399162302594e-05,2.3101695903180277e-05,3.157790390317572e-05
2022-06-17 00:00:00+00:00,2.6975577886408548e-05,2.353399162302594e-05,2.3101695903180277e-05
2022-06-18 00:00:00+00:00,2.5661225297973275e-05,2.6975577886408548e-05,2.353399162302594e-05
2022-06-19 00:00:00+00:00,3.126818727261187e-05,2.5661225297973275e-05,2.6975577886408548e-05
2022-06-20 00:00:00+00:00,2.7908298112119416e-05,3.126818727261187e-05,2.5661225297973275e-05
2022-06-21 00:00:00+00:00,3.084738010210972e-05,2.7908298112119416e-05,3.126818727261187e-05
2022-06-22 00:00:00+00:00,3.0963159047408254e-05,3.084738010210972e-05,2.7908298112119416e-05
2022-06-23 00:00:00+00:00,2.329519399994972e-05,3.0963159047408254e-05,3.084738010210972e-05
2022-06-24 00:00:00+00:00,1.9959652077667605e-05,2.329519399994972e-05,3.0963159047408254e-05
2022-06-25 00:00:00+00:00,1.969183758256371e-05,1.9959652077667605e-05,2.329519399994972e-05
2022-06-26 00:00:00+00:00,1.9424023087459813e-05,1.969183758256371e-05,1.9959652077667605e-05
2022-06-27 00:00:00+00:00,1.9156208592355917e-05,1.9424023087459813e-05,1.969183758256371e-05
2022-06-28 00:00:00+00:00,2.3183681411891584e-05,1.9156208592355917e-05,1.9424023087459813e-05
2022-06-29 00:00:00+00:00,2.760867943927472e-05,2.3183681411891584e-05,1.9156208592355917e-05
2022-06-30 00:00:00+00:00,2.7393143080215092e-05,2.760867943927472e-05,2.3183681411891584e-05
2022-07-01 00:00:00+00:00,2.2700317953698505e-05,2.7393143080215092e-05,2.760867943927472e-05
2022-07-02 00:00:00+00:00,1.9533288088534623e-05,2.2700317953698505e-05,2.7393143080215092e-05
2022-07-03 00:00:00+00:00,2.8602474759355647e-05,1.9533288088534623e-05,2.2700317953698505e-05
2022-07-04 00:00:00+00:00,4.1777431718845375e-05,2.8602474759355647e-05,1.9533288088534623e-05
2022-07-05 00:00:00+00:00,2.9550957467859995e-05,4.1777431718845375e-05,2.8602474759355647e-05
2022-07-06 00:00:00+00:00,2.686568711437288e-05,2.9550957467859995e-05,4.1777431718845375e-05
2022-07-07 00:00:00+00:00,2.4180416760885766e-05,2.686568711437288e-05,2.9550957467859995e-05
2022-07-08 00:00:00+00:00,2.443739709845934e-05,2.4180416760885766e-05,2.686568711437288e-05
2022-07-09 00:00:00+00:00,3.178884838731166e-05,2.443739709845934e-05,2.4180416760885766e-05
2022-07-10 00:00:00+00:00,2.570539290988929e-05,3.178884838731166e-05,2.443739709845934e-05
2022-07-11 00:00:00+00:00,1.6575262634432875e-05,2.570539290988929e-05,3.178884838731166e-05
2022-07-12 00:00:00+00:00,2.874508369211032e-05,1.6575262634432875e-05,2.570539290988929e-05
2022-07-13 00:00:00+00:00,2.4778569656925183e-05,2.874508369211032e-05,1.6575262634432875e-05
2022-07-14 00:00:00+00:00,4.165061035463522e-05,2.4778569656925183e-05,2.874508369211032e-05
2022-07-15 00:00:00+00:00,2.471750557010693e-05,4.165061035463522e-05,2.4778569656925183e-05
2022-07-16 00:00:00+00:00,2.657826707801423e-05,2.471750557010693e-05,4.165061035463522e-05
2022-07-17 00:00:00+00:00,2.573061124941894e-05,2.657826707801423e-05,2.471750557010693e-05
2022-07-18 00:00:00+00:00,2.4882955420823646e-05,2.573061124941894e-05,2.657826707801423e-05
2022-07-19 00:00:00+00:00,2.9178953897621063e-05,2.4882955420823646e-05,2.573061124941894e-05
2022-07-20 00:00:00+00:00,3.1243980567171384e-05,2.9178953897621063e-05,2.4882955420823646e-05
2022-07-21 00:00:00+00:00,3.2918468921799345e-05,3.1243980567171384e-05,2.9178953897621063e-05
2022-07-22 00:00:00+00:00,2.271805936158801e-05,3.2918468921799345e-05,3.1243980567171384e-05
2022-07-23 00:00:00+00:00,3.2175674358600905e-05,2.271805936158801e-05,3.2918468921799345e-05
2022-07-24 00:00:00+00:00,2.391722619595728e-05,3.2175674358600905e-05,2.271805936158801e-05
2022-07-25 00:00:00+00:00,2.9009962051948268e-05,2.391722619595728e-05,3.2175674358600905e-05
2022-07-26 00:00:00+00:00,3.4243051693047016e-05,2.9009962051948268e-05,2.391722619595728e-05
2022-07-27 00:00:00+00:00,2.5650839165102685e-05,3.4243051693047016e-05,2.9009962051948268e-05
2022-07-28 00:00:00+00:00,3.385538926799516e-05,2.5650839165102685e-05,3.4243051693047016e-05
2022-07-29 00:00:00+00:00,3.64376108639893e-05,3.385538926799516e-05,2.5650839165102685e-05
2022-07-30 00:00:00+00:00,2.431012417150863e-05,3.64376108639893e-05,3.385538926799516e-05
2022-07-31 00:00:00+00:00,3.2330383858521585e-05,2.431012417150863e-05,3.64376108639893e-05
2022-08-01 00:00:00+00:00,3.293043979152893e-05,3.2330383858521585e-05,2.431012417150863e-05
2022-08-02 00:00:00+00:00,3.541999823128203e-05,3.293043979152893e-05,3.2330383858521585e-05
2022-08-03 00:00:00+00:00,3.790955667103514e-05,3.541999823128203e-05,3.293043979152893e-05
2022-08-04 00:00:00+00:00,3.1381596949303814e-05,3.790955667103514e-05,3.541999823128203e-05
2022-08-05 00:00:00+00:00,3.2521502785489684e-05,3.1381596949303814e-05,3.790955667103514e-05
2022-08-06 00:00:00+00:00,2.8400517769120638e-05,3.2521502785489684e-05,3.1381596949303814e-05
2022-08-07 00:00:00+00:00,3.691264934483721e-05,2.8400517769120638e-05,3.2521502785489684e-05
2022-08-08 00:00:00+00:00,2.3092227523620192e-05,3.691264934483721e-05,2.8400517769120638e-05
2022-08-09 00:00:00+00:00,2.629703412509901e-05,2.3092227523620192e-05,3.691264934483721e-05
2022-08-10 00:00:00+00:00,2.853922773133259e-05,2.629703412509901e-05,2.3092227523620192e-05
2022-08-11 00:00:00+00:00,3.911862888737626e-05,2.853922773133259e-05,2.629703412509901e-05
2022-08-12 00:00:00+00:00,2.8752445725489373e-05,3.911862888737626e-05,2.853922773133259e-05
2022-08-13 00:00:00+00:00,3.6509338084707906e-05,2.8752445725489373e-05,3.911862888737626e-05
2022-08-14 00:00:00+00:00,4.4266230443926446e-05,3.6509338084707906e-05,2.8752445725489373e-05
2022-08-15 00:00:00+00:00,2.594071506276998e-05,4.4266230443926446e-05,3.6509338084707906e-05
2022-08-16 00:00:00+00:00,2.8465737133802565e-05,2.594071506276998e-05,4.4266230443926446e-05
2022-08-17 00:00:00+00:00,2.4337528875475397e-05,2.8465737133802565e-05,2.594071506276998e-05
2022-08-18 00:00:00+00:00,4.0522248852631904e-05,2.4337528875475397e-05,2.8465737133802565e-05
2022-08-19 00:00:00+00:00,3.2844053831385366e-05,4.0522248852631904e-05,2.4337528875475397e-05
2022-08-20 00:00:00+00:00,3.432840841035365e-05,3.2844053831385366e-05,4.0522248852631904e-05
2022-08-21 00:00:00+00:00,2.6589003897033066e-05,3.432840841035365e-05,3.2844053831385366e-05
2022-08-22 00:00:00+00:00,3.5187284562485534e-05,2.6589003897033066e-05,3.432840841035365e-05
2022-08-23 00:00:00+00:00,2.6766512415964492e-05,3.5187284562485534e-05,2.6589003897033066e-05
2022-08-24 00:00:00+00:00,3.6394993280520704e-05,2.6766512415964492e-05,3.5187284562485534e-05
2022-08-25 00:00:00+00:00,3.1952563287016825e-05,3.6394993280520704e-05,2.6766512415964492e-05
2022-08-26 00:00:00+00:00,2.108890700211222e-05,3.1952563287016825e-05,3.6394993280520704e-05
2022-08-27 00:00:00+00:00,3.5712552309745566e-05,2.108890700211222e-05,3.1952563287016825e-05
