NO2(t-1),NO2(t)
2.1781371684493845e-05,2.231590440378757e-05
2.231590440378757e-05,2.6513661093000945e-05
2.6513661093000945e-05,3.2125647558132186e-05
3.2125647558132186e-05,1.4632491771798024e-05
1.4632491771798024e-05,2.059050500768933e-05
2.059050500768933e-05,2.286058094114196e-05
2.286058094114196e-05,2.167818118437026e-05
2.167818118437026e-05,2.049578142759856e-05
2.049578142759856e-05,2.0946422332392764e-05
2.0946422332392764e-05,2.139706323718697e-05
2.139706323718697e-05,2.49786721531687e-05
2.49786721531687e-05,3.0059639601827727e-05
3.0059639601827727e-05,4.5531261868611046e-05
4.5531261868611046e-05,1.5052962603244984e-05
1.5052962603244984e-05,2.1996194591013463e-05
2.1996194591013463e-05,2.202767953463081e-05
2.202767953463081e-05,2.2850847946098472e-05
2.2850847946098472e-05,2.5528656732555013e-05
2.5528656732555013e-05,2.8206465519011554e-05
2.8206465519011554e-05,3.0884274305468094e-05
3.0884274305468094e-05,1.949493964685471e-05
1.949493964685471e-05,2.019980228942003e-05
2.019980228942003e-05,1.606133522336302e-05
1.606133522336302e-05,1.8784693314668597e-05
1.8784693314668597e-05,1.9459838391595512e-05
1.9459838391595512e-05,2.013498346852243e-05
2.013498346852243e-05,2.4576014836314316e-05
2.4576014836314316e-05,1.816092040807581e-05
1.816092040807581e-05,1.92777326620195e-05
1.92777326620195e-05,2.437270209491397e-05
2.437270209491397e-05,2.56478522260295e-05
2.56478522260295e-05,2.248436714726144e-05
2.248436714726144e-05,1.703293584073271e-05
1.703293584073271e-05,2.594595114467004e-05
2.594595114467004e-05,1.7726956381617736e-05
1.7726956381617736e-05,2.7981048193536346e-05
2.7981048193536346e-05,2.339392271358812e-05
2.339392271358812e-05,1.815012067349168e-05
1.815012067349168e-05,1.9893173527764573e-05
1.9893173527764573e-05,2.290067625706017e-05
2.290067625706017e-05,2.8394594447821543e-05
2.8394594447821543e-05,2.2652412280876887e-05
2.2652412280876887e-05,4.005411190317116e-05
4.005411190317116e-05,3.157790390317572e-05
3.157790390317572e-05,2.3101695903180277e-05
2.3101695903180277e-05,2.353399162302594e-05
2.353399162302594e-05,2.6975577886408548e-05
2.6975577886408548e-05,2.5661225297973275e-05
2.5661225297973275e-05,3.126818727261187e-05
3.126818727261187e-05,2.7908298112119416e-05
2.7908298112119416e-05,3.084738010210972e-05
3.084738010210972e-05,3.0963159047408254e-05
3.0963159047408254e-05,2.329519399994972e-05
2.329519399994972e-05,1.9959652077667605e-05
1.9959652077667605e-05,1.969183758256371e-05
1.969183758256371e-05,1.9424023087459813e-05
1.9424023087459813e-05,1.9156208592355917e-05
1.9156208592355917e-05,2.3183681411891584e-05
2.3183681411891584e-05,2.760867943927472e-05
2.760867943927472e-05,2.7393143080215092e-05
2.7393143080215092e-05,2.2700317953698505e-05
2.2700317953698505e-05,1.9533288088534623e-05
1.9533288088534623e-05,2.8602474759355647e-05
2.8602474759355647e-05,4.1777431718845375e-05
4.1777431718845375e-05,2.9550957467859995e-05
2.9550957467859995e-05,2.686568711437288e-05
2.686568711437288e-05,2.4180416760885766e-05
2.4180416760885766e-05,2.443739709845934e-05
2.443739709845934e-05,3.178884838731166e-05
3.178884838731166e-05,2.570539290988929e-05
2.570539290988929e-05,1.6575262634432875e-05
1.6575262634432875e-05,2.874508369211032e-05
2.874508369211032e-05,2.4778569656925183e-05
2.4778569656925183e-05,4.165061035463522e-05
4.165061035463522e-05,2.471750557010693e-05
2.471750557010693e-05,2.657826707801423e-05
2.657826707801423e-05,2.573061124941894e-05
