date,feature_index,NO2
2022-07-03T00:00:00.000Z,0,2.8602474759355647E-5
2022-07-08T00:00:00.000Z,0,2.443739709845934E-5
2022-07-07T00:00:00.000Z,0,2.4180416760885766E-5
2022-07-06T00:00:00.000Z,0,
2022-07-04T00:00:00.000Z,0,4.1777431718845375E-5
2022-07-05T00:00:00.000Z,0,2.9550957467859995E-5
2022-07-09T00:00:00.000Z,0,3.178884838731166E-5
2022-07-10T00:00:00.000Z,0,2.5705392909889295E-5
2022-10-12T00:00:00.000Z,0,2.3974093424198253E-5
2022-10-09T00:00:00.000Z,0,2.299417893136223E-5
2022-10-13T00:00:00.000Z,0,1.7373537393309974E-5
2022-10-10T00:00:00.000Z,0,2.5136351218356544E-5
2022-10-07T00:00:00.000Z,0,2.7442200567188243E-5
2022-10-08T00:00:00.000Z,0,2.7738466411330776E-5
2022-10-11T00:00:00.000Z,0,2.2837084145521658E-5
2022-10-14T00:00:00.000Z,0,1.9216523143265812E-5
2023-01-10T00:00:00.000Z,0,1.915476035005018E-5
2023-01-08T00:00:00.000Z,0,1.7618555924353382E-5
2023-01-09T00:00:00.000Z,0,2.2312689391067062E-5
2023-01-03T00:00:00.000Z,0,
2023-01-05T00:00:00.000Z,0,2.180449444930001E-5
2023-01-04T00:00:00.000Z,0,5.329057603375986E-5
2023-01-07T00:00:00.000Z,0,1.2713750910127905E-5
2023-01-06T00:00:00.000Z,0,1.1196125100809695E-5
2023-02-01T00:00:00.000Z,0,2.5464208712427145E-5
2023-01-30T00:00:00.000Z,0,
2023-01-28T00:00:00.000Z,0,
2023-02-02T00:00:00.000Z,0,2.9234578505565878E-5
2023-01-27T00:00:00.000Z,0,
2023-02-03T00:00:00.000Z,0,2.8804931025661064E-5
2023-01-29T00:00:00.000Z,0,1.6982847228064202E-5
2023-01-31T00:00:00.000Z,0,1.527314313588089E-5
2024-03-07T00:00:00.000Z,0,3.471272337264963E-5
2024-03-08T00:00:00.000Z,0,2.6176313333374256E-5
2024-03-04T00:00:00.000Z,0,1.5163591001036518E-5
2024-03-02T00:00:00.000Z,0,3.5914894397137687E-5
2024-03-05T00:00:00.000Z,0,2.6553053935963868E-5
2024-03-09T00:00:00.000Z,0,
2024-03-06T00:00:00.000Z,0,3.511755050147678E-5
2024-03-03T00:00:00.000Z,0,2.361359252220076E-5
2024-04-06T00:00:00.000Z,0,1.9947953906068258E-5
2024-04-07T00:00:00.000Z,0,3.209364574588533E-5
2024-04-04T00:00:00.000Z,0,2.466333455517412E-5
2024-04-05T00:00:00.000Z,0,2.3572502086792793E-5
2024-04-09T00:00:00.000Z,0,3.561908957076062E-5
2024-04-10T00:00:00.000Z,0,2.7886395628229366E-5
2024-04-08T00:00:00.000Z,0,3.100515967465375E-5
2024-04-03T00:00:00.000Z,0,2.3147737673904583E-5
2022-05-12T00:00:00.000Z,0,2.49786721531687E-5
2022-05-10T00:00:00.000Z,0,
2022-05-09T00:00:00.000Z,0,2.049578142759856E-5
2022-05-08T00:00:00.000Z,0,
2022-05-15T00:00:00.000Z,0,1.5052962603244984E-5
2022-05-14T00:00:00.000Z,0,4.5531261868611046E-5
2022-05-11T00:00:00.000Z,0,2.139706323718697E-5
2022-05-13T00:00:00.000Z,0,3.0059639601827727E-5
2024-02-29T00:00:00.000Z,0,
2024-02-24T00:00:00.000Z,0,2.4955160500082586E-5
2024-02-27T00:00:00.000Z,0,2.411094692897863E-5
2024-02-28T00:00:00.000Z,0,
2024-02-23T00:00:00.000Z,0,3.284846739656392E-5
2024-03-01T00:00:00.000Z,0,1.671201187036786E-5
2024-02-25T00:00:00.000Z,0,
2024-02-26T00:00:00.000Z,0,2.8136635713192096E-5
2023-05-11T00:00:00.000Z,0,
2023-05-14T00:00:00.000Z,0,1.6128734015871988E-5
2023-05-17T00:00:00.000Z,0,2.278609063939066E-5
2023-05-13T00:00:00.000Z,0,1.2981185702359433E-5
2023-05-12T00:00:00.000Z,0,2.484520328858381E-5
2023-05-18T00:00:00.000Z,0,2.4074959365331477E-5
2023-05-15T00:00:00.000Z,0,2.516671050106004E-5
2023-05-16T00:00:00.000Z,0,2.5896070337694254E-5
2023-06-11T00:00:00.000Z,0,1.2790188129151324E-5
2023-06-08T00:00:00.000Z,0,3.5546664940041005E-5
2023-06-09T00:00:00.000Z,0,2.6251462395839235E-5
2023-06-07T00:00:00.000Z,0,4.521275259321556E-5
2023-06-06T00:00:00.000Z,0,2.377894948598655E-5
2023-06-04T00:00:00.000Z,0,2.6775973781086162E-5
2023-06-10T00:00:00.000Z,0,2.9076819954347425E-5
2023-06-05T00:00:00.000Z,0,3.2012449154487845E-5
2024-05-24T00:00:00.000Z,0,4.468487059057224E-5
2024-05-28T00:00:00.000Z,0,1.7483639703195697E-5
2024-05-21T00:00:00.000Z,0,2.7479621279966362E-5
2024-05-25T00:00:00.000Z,0,3.595606333464293E-5
2024-05-27T00:00:00.000Z,0,2.5544104309183966E-5
2024-05-23T00:00:00.000Z,0,
